Target,mds_recall_max_caps,mds_cache_reservation,mds_dir_max_commit_size,osd_tier_default_cache_hit_set_count,mds_session_cache_liveness_magnitude,mds_recall_warning_threshold,osd_target_transaction_size,client_oc_max_dirty,rbd_readahead_max_bytes,mds_min_caps_per_client,bluestore_fsck_read_bytes_cap,mds_client_prealloc_inos
353,11149,0.23735599999999998,34,10,28,91892,53,104884966,1253394,533,87135672,3845
348,12159,1.18919,33,9,24,89999,73,104868637,1266497,546,87140091,3035
351,12170,0.318245,36,8,25,116623,77,104868465,1262069,574,87134136,3590
355,12311,1.32626,30,8,20,91720,71,104870555,1267699,527,87125011,3552
350,10242,0.160683,32,8,26,100167,67,104889888,1251209,557,87116003,3216
348,8960,1.3679,34,8,29,90536,51,104881232,1252590,541,87121880,3861
356,10681,0.662208,36,11,28,94283,54,104875894,1252631,500,87121227,3738
355,8811,0.567511,32,8,20,98698,51,104872086,1270818,584,87111498,3328
351,12971,1.3638,37,9,29,90407,53,104877403,1255768,505,87129274,3761
355,12984,1.35511,34,8,21,108792,61,104857615,1243976,555,87136894,3530
355,9556,0.264879,38,9,25,106105,73,104874743,1248925,594,87134085,3646
354,9737,1.2179,34,11,20,94642,60,104885679,1257624,526,87113508,3036
349,8932,1.65822,33,9,20,106090,69,104870082,1262637,509,87123833,3920
356,8320,1.36404,39,10,24,110482,78,104885301,1247309,533,87118649,3915
348,11859,1.35004,37,9,25,112184,77,104861446,1269539,500,87123083,3793
345,12893,0.36348400000000003,32,9,24,100788,74,104886771,1244800,531,87121367,3053
349,9763,1.00632,30,9,20,111428,67,104875408,1257124,517,87114396,3871
353,10505,1.9710400000000001,38,9,20,88751,69,104888952,1271147,559,87128543,3543
350,9674,1.69616,34,9,23,99913,62,104870624,1248688,589,87117519,3931
349,8179,0.138456,39,11,23,91501,50,104888206,1243648,587,87122982,3113
357,11679,1.60565,37,10,26,113700,67,104878929,1262955,592,87132207,3482
348,8030,1.2093399999999999,32,10,28,98429,56,104859121,1264863,544,87116930,3347
351,10271,1.28532,38,8,20,109116,61,104879341,1244648,519,87121285,3181
352,9357,1.80293,34,11,21,97217,61,104864904,1272499,589,87125512,3765
357,10110,1.8215,34,11,27,117675,73,104886235,1266953,549,87114517,3801
346,10202,1.13721,32,8,26,99392,73,104865336,1252939,512,87109585,3354
346,8893,0.07450169999999999,34,9,21,102920,52,104863288,1243320,532,87112805,3312
359,8761,1.50785,34,9,29,108927,79,104859511,1269683,549,87124693,3916
342,9717,1.0117399999999999,35,11,27,95720,51,104870875,1250582,508,87112305,3161
350,11170,1.12976,39,11,20,107694,78,104881573,1266984,577,87115955,3994
342,9667,0.12016500000000001,36,8,20,88104,50,104882535,1252587,513,87132984,3708
356,12763,1.04188,39,11,24,114064,67,104882941,1250628,550,87118217,3790
348,11655,0.336878,30,10,21,107356,56,104879048,1249528,545,87113413,3041
350,10708,1.37345,38,10,29,87649,72,104878462,1242887,569,87130020,3190
357,12716,0.740458,33,8,27,99194,53,104889654,1263028,567,87139959,3427
351,9601,0.5917680000000001,35,10,24,89361,61,104881394,1265223,560,87117843,3850
350,11297,1.04964,36,8,26,105284,52,104889865,1260654,547,87113609,3772
346,12845,0.9225610000000001,35,8,27,112101,58,104865338,1270676,536,87116935,3050
354,9305,1.72747,37,10,23,114857,62,104881660,1272617,558,87135341,3029
349,11472,0.150279,31,10,21,109554,58,104883394,1250238,579,87115906,3080
352,8999,0.207535,35,9,28,109648,69,104877949,1244525,534,87137660,3397
356,12165,0.637081,38,10,27,107454,51,104875283,1262315,543,87112751,3176
350,8197,0.08574839999999999,32,10,21,116067,61,104884618,1245893,585,87116314,3543
350,11611,1.42119,31,8,21,118705,66,104859442,1246401,512,87120865,3332
349,10021,1.10127,36,8,29,88138,60,104878636,1241841,529,87122713,3680
351,8442,1.40629,34,8,26,101385,71,104867106,1253820,528,87141449,3679
346,12272,0.0922085,31,10,27,103848,76,104876316,1268546,553,87123172,3503
357,12454,0.672046,37,8,26,104498,69,104888946,1245202,593,87113376,3720
349,8020,0.35877800000000004,34,10,26,98277,58,104881660,1256250,586,87135759,3601
351,11472,0.11183299999999999,35,11,25,104754,74,104857789,1264800,547,87122286,3181
349,10776,1.5127899999999999,30,8,23,89678,78,104888806,1250325,514,87125019,3923
353,8567,1.42584,37,11,23,93095,65,104865136,1252537,515,87128178,3715
356,11973,0.294804,31,8,25,105798,69,104860057,1249017,511,87112478,3377
346,10668,0.34575700000000004,32,9,27,97406,61,104886354,1258959,508,87131724,3209
351,10363,1.43858,37,10,21,97089,53,104874409,1268725,504,87140254,3801
348,10802,0.9711770000000001,37,10,20,106055,74,104877489,1253185,561,87131649,3938
355,12934,1.57104,32,9,25,99278,74,104865141,1249842,513,87140481,3636
345,8974,0.29495,37,8,21,103558,61,104861218,1266352,506,87113262,3344
352,9309,0.670808,33,10,22,91481,65,104878032,1262475,525,87125802,3379
354,12259,1.87652,33,10,22,104521,73,104867272,1241893,587,87112460,3794
347,8448,1.50146,35,8,25,111899,68,104881822,1245639,580,87110274,3794
354,11016,1.1617899999999999,31,8,27,94667,70,104876479,1271617,533,87118767,3545
352,10842,1.00403,30,9,24,108143,72,104878080,1263905,546,87125723,3281
352,8477,0.914092,34,11,23,96857,64,104881139,1264715,561,87116444,3351
348,11066,1.0857700000000001,33,8,27,86098,75,104879939,1241805,546,87132982,3152
357,10065,0.6728609999999999,37,11,29,100234,78,104883656,1271258,570,87129238,3553
354,8790,0.478152,37,11,28,116122,54,104859151,1241650,546,87122741,3361
351,10438,0.964772,35,8,20,98990,67,104865430,1258588,548,87111418,3069
351,11977,0.6620199999999999,37,11,23,92014,62,104864226,1252053,521,87136732,3030
353,12988,1.69107,31,8,25,104480,52,104868571,1251390,596,87110476,3434
350,12711,0.294542,31,10,22,106354,57,104862906,1265748,568,87126305,3779
350,11210,1.6401,34,9,27,111845,56,104859621,1248061,521,87128258,3215
358,12105,0.838298,39,11,27,93155,61,104885831,1248346,521,87109915,3540
354,10969,1.33972,38,8,24,115959,53,104872122,1242224,597,87118340,3916
353,12350,0.589956,31,8,26,97096,51,104869128,1264807,544,87131360,3190
351,10471,0.0562269,38,10,29,98899,53,104880163,1261336,542,87117976,3616
351,12557,1.91353,33,9,26,90568,72,104883432,1255749,590,87129680,3792
349,12805,0.48467899999999997,30,8,21,89470,52,104868035,1255732,595,87118179,3235
350,11906,0.0670936,30,11,27,95433,69,104886391,1257733,570,87136169,3092
355,12765,1.95075,35,9,20,113217,69,104889989,1269117,529,87123711,3539
351,10726,0.31855,37,8,28,107509,63,104880964,1246578,555,87109556,3047
352,11495,0.39155300000000004,36,11,27,97844,72,104867733,1267374,521,87114451,3119
351,10644,1.78575,32,8,20,110056,62,104861127,1242986,576,87140275,3746
357,11674,1.11191,32,8,28,104768,71,104866229,1257520,531,87133271,3313
347,8171,0.709866,37,10,21,101863,53,104874987,1241209,564,87112451,3106
354,11262,0.556427,36,11,28,113546,66,104865133,1267535,504,87119993,3875
354,12741,0.0573703,39,9,27,101456,66,104885387,1269309,586,87137618,3378
345,11166,0.851406,34,8,20,110765,58,104868971,1267221,588,87110494,3185
348,8080,0.46853,38,9,24,104187,55,104870528,1241670,568,87140686,3715
344,8217,0.5282180000000001,33,8,27,92681,56,104859169,1247175,596,87137095,3954
356,10547,0.7455970000000001,34,11,28,105251,53,104881943,1247267,579,87141308,3069
348,11327,0.11970599999999999,34,8,22,104594,52,104862613,1270628,594,87118433,3639
349,11186,1.08297,33,11,28,96013,79,104871832,1253938,536,87122304,3268
350,12056,1.67904,36,9,22,92946,55,104872507,1252522,522,87127579,3574
353,11194,1.05221,39,10,28,87516,58,104876460,1240135,525,87124607,3032
350,8982,0.7615609999999999,35,9,29,114126,67,104880429,1270104,500,87131455,3662
352,10949,0.9175530000000001,35,9,24,102711,71,104882139,1261331,599,87140365,3511
353,12053,0.403016,35,11,20,107965,56,104888278,1246499,598,87131763,3922
346,8648,1.4671399999999999,31,9,24,105438,71,104863712,1246885,520,87112390,3755
355,11675,1.8368200000000001,37,8,27,96615,61,104878895,1256058,561,87125045,3037
